articleID,reportedValue,obtainedValue,valueType,percentageError,comparisonOutcome,eyeballCheck
9-5-2015,1.08,1.41,d,30.555555555555543,MAJOR_ERROR,NA
9-5-2015,17.91,17.95,F,0.22333891680624873,MINOR_ERROR,NA
9-5-2015,0.01,0.05,p,400,DECISION_ERROR,NA
9-5-2015,0.23,0.04,p,82.6086956521739,DECISION_ERROR,NA
9-5-2015,0.23,0,p,100,DECISION_ERROR,NA
9-5-2015,0.23,0.05,p,78.26086956521738,MAJOR_ERROR,NA
9-5-2015,0.59,0.6,d,1.6949152542372898,MINOR_ERROR,NA
9-5-2015,0.4,0.42,d,4.99999999999999,MINOR_ERROR,NA
